id,sentence,type,label
jp_508,rdquoiaa director eli escuzido concluded that ldquothe impressive finds uncovered here reinforce our responsibility to investigate and to conserve lodrsquos history and rich heritage,anti-israeli,3
bbc_454,the un says more than 800000 palestinians have fled from rafah since the offensive began,anti-israeli,3
jp_473,prime minister benjamin netanyahu compared antigovernment protesters in israel to propalestinian protesters in the us in an interview with cnbc on wednesday,pro-palestinian,2
jp_536,we all understand the task at hand the responsibility we have and what it means she said,neutral,0
jp_163,the loud screams of iron dome interceptors grasping upward led me to look toward the coast where the battle overhead was taking place between islamic jihad rockets and iron dome,anti-palestinian,4
bbc_460,mdecins sans frontires said overnight that 15 bodies and dozens of casualties had been brought to a trauma stabilisation point which the charity supports,neutral,0
bbc_456,its time to stop caring what everybody else thinks shira said and do whats necessary to protect my life to protect my family,pro-israeli,1
bbc_324,men in aprons and masks placed the remains wrapped in blue plastic in a mass grave dug by an excavator in the sandy ground,neutral,0
bbc_54,mr biden caught on a hotmic after his speech to congress said he had told mr netanyahu he would have a cometojesus meeting with him sparking speculation he could make a threat to cancel some weapons supply as leverage,anti-palestinian,4
nyt_101,gantz a centrist figure who last month threatened to resign unless mr,anti-palestinian,4
bbc_186,organisers said the protest in tel aviv had drawn 100000 people while other counts put attendance at around 45000,pro-palestinian,2
bbc_329,addressed to the irgcs commanderinchief it says it is based on extensive talks with its teams that policed that protest,pro-palestinian,2
nyt_537,at one point early on during israels ground invasion of the north  nonenglish speech,anti-israeli,3
jp_234,she is a faculty member of the bible department of barilan university and her various areas of interest include compassion toward animals,neutral,0
bbc_149, exactly six months ago in deadly secrecy hamas was putting the finishing touches to the battle plan it called operation alaqsa flood,anti-israeli,3
bbc_6,hospitals struggle without adequate medicine or power,pro-palestinian,2
bbc_147,the three britons all former servicemen were acting as part of a wck security team working for poolebased risk management company solace global,pro-israeli,1
jp_573,"nbsp
for the palestinians the icc ruling offered a ray of hope to hold israel accountable for alleged human rights abuses",pro-palestinian,2
jp_50,the tensions reached their peak last year after sources there revealed that members of hamasrsquos izzadin alqassam brigades detained islamic jihad militiamen who were planning to launch rockets toward israel,anti-palestinian,4
aj_4,french police officers entered the paris institute of political studies sciences po in paris and removed propalestinian student activists who had occupied its buildings to protest israels war on gaza,pro-palestinian,2
bbc_115,mr munder was kidnapped along with his wife ruth his daughter keren and his grandson ohad when hamas fighters stormed into southern israel on 7 october killing about 1200 people and seizing 253 hostages according to israeli tallies,anti-palestinian,4
jp_39,they were the first airstrikes since the ceasefire and a warning to hamas we will not sit back quietly,anti-israeli,3
bbc_69,israels economy minister nir barkat dismissed mr trks warnings as total nonsense  a totally irresponsible thing to say,neutral,0
bbc_362,the gmc figures obtained via a freedom of information request by the bbc also show an uptick in complaints about islamophobia by doctors since 7 october with 16 cases from october through to january compared to three in the preceding nine months,pro-palestinian,2
jp_513,the leaders discussed israelrsquos security and friedman suggested that they watch the video of abbasrsquos speeches,pro-israeli,1
bbc_247,please include your name age and location with any submission,neutral,0
aj_551,athens greece  nine people from the united kingdom and the european union member states are facing deportation from greece days after they took part in a protest in solidarity with palestine at a greek university,pro-palestinian,2
bbc_191,they also said a recent un security council resolution calling for an immediate ceasefire and the release of all hamasheld hostages must be fully implemented without further delay,pro-israeli,1
nyt_40,byhelene cooper the united states made a second round of airdrops of humanitarian aid into the gaza strip on tuesday as the biden administration continued its efforts to prevent a greater humanitarian disaster in the palestinian territory,pro-palestinian,2
bbc_199,despite the pain destruction displacement and continuous shelling by the israeli army we are a lifeloving people he said,anti-israeli,3
bbc_431,the international community is signalling to israel that it can no longer maintain its policy of violence killing and destruction without accountability it added,anti-israeli,3
bbc_314,jordan has admitted shooting down iranian drones in selfdefence to protect its sovereignty,pro-israeli,1
bbc_413,prime minister rishi sunak said 8400 plastic shelters had been delivered,pro-israeli,1
nyt_279,the resolution declares that the state of palestine is qualified for membership in the united nations under its charter rules and recommends that the security council reconsider the matter with a favorable outcome,pro-israeli,1
bbc_239,since october israel has accepted the weapons and the diplomatic support that accompanied them and ignored joe bidens increasingly desperate and angry calls to respect the laws of war and protect civilians,pro-israeli,1
bbc_253,and the only thing i could do was look at her in the eyes because we werent allowed to hug we cried inside,neutral,0
jp_33,the hezbollah leader added at the time that the rocket fire was not a response to the killing of the hezbollah member in syria,neutral,0
bbc_60,it identified him as mohammed abu hasna and alleged that he had been a combat support operative in hamass military wing in the rafah area,neutral,0
jp_235,ldquothe international changes that affected our ability to conduct business in a normal way in areas where stability was undermined and in addition the fighting in israel forced us to adjust the companyrsquos policyrdquo he said,anti-israeli,3
aj_314,uk students call on university to suspend rabbi who served in israeli army dozens at the university of leeds step up protests as zecharia deutsch continues his role as campus chaplain,pro-palestinian,2
bbc_404,twentytwo of them were killed by friendly fire five died because of firing irregularities and 17 as a result of accidents including incidents involving weaponry and trampling,anti-palestinian,4
bbc_442,i am sending ireland and norway a clear message israel will not back down against those who undermine its sovereignty and endanger its security foreign minister israel katz said,pro-israeli,1
bbc_113,hezbollah is a lebanese shia muslim militant group with close ties to iran and an ally of hamas,anti-palestinian,4
bbc_265,irans semiofficial fars news agency which is close to the islamic revolution guard corps irgc said explosions were heard near isfahan international airport and an army base in isfahan city activating local air defence systems,pro-israeli,1
jp_151,following the necessary preparation period of several months the changes to this draft regulation are expected to take effect during the coming year to ensure comprehensive protection for the public,pro-israeli,1
jp_61,"nbsp
the idf said it struck a hamas military camp and a rocketlaunching position in the northern gaza strip in response to the launching of incendiary balloons",anti-palestinian,4
jp_277,col,neutral,0
bbc_478,the protesters occupied the armstrong building for about five hours,pro-palestinian,2
bbc_296,earlier this month some displaced palestinians in rafah attempted to return to northern gaza but were forced back by the israeli military,anti-israeli,3
jp_588,sabti who was born in tehran and is research fellow for institute for national security studies added that in isfahan ldquothere are many military basesrdquo in nbspisfahan nbspbecause it is in the heart nbspof ian and it is ldquovery securerdquo for iran to place military installations in the central province of isfahan,pro-israeli,1
bbc_444,earlier this week the un said food distribution in the southern gaza city of rafah had been suspended due to a lack of supplies and insecurity,pro-israeli,1
jp_255, in hindsight the failure appears to have been strategic,neutral,0
bbc_126,international humanitarian law must be respected he added,pro-palestinian,2
bbc_362,the vast majority of incidents that we record involve visibly jewish people or jewish organisations being singled out simply because they are jewish and either harassed or threatened or treated as if they are somehow to blame or responsible for anything israel has done simply because they are jewish dr rich said,anti-palestinian,4
bbc_104,israel says the agency is linked to hamas and that it would continue to work with organisations that are not involved in terror,neutral,0
bbc_164,propalestine protest disrupts newcastle council meeting israel says it has approved the opening of two humanitarian routes into gaza to allow more aid into the territory,pro-palestinian,2
jp_193,in 2001 a series of tests was completed proving a laser beam can intercept a threat but concluded that a chemical laserbased interception system was not suitable for operational deployment in israel,anti-palestinian,4
aj_151,3 million residents of the besieged palestinian territory face the imminent risk of famine,anti-israeli,3
jp_561,"nbsp
five other palestinians have also recently been indicted for obstruction of justice by providing shalabi with a hiding place during the initial manhunt and all five are being kept in police custody until the conclusion of their trials",pro-palestinian,2
bbc_196,but virtually everyone outside israel is against an offensive in the city where about 1,anti-israeli,3
jp_560,rdquoamong those tough questions were certainly ones about what israel would do to prevent as many civilian casualties as possible inside gaza what israel would do to prevent a humanitarian crisis and how jerusalem planned to respond to hezbollah provocations in the north,pro-palestinian,2
jp_272,senator tom cotton rar called schumerrsquos comments ldquoinappropriaterdquo and ldquooffensive,anti-israeli,3
bbc_422,the uns top court the international court of justice icj is considering a case brought by south africa in january accusing israel of committing genocide against the palestinians in gaza,pro-palestinian,2
jp_579,it shot down 8590 of hamas rockets in past rounds of battle ndash and that was out of the ones which were projected to land in populated areas,anti-palestinian,4
jp_332,it argued that the decision is not based on security concerns but comes due to ldquothe opening of an international criminal court investigation,pro-israeli,1
bbc_429,in a statement late on monday the french foreign ministry said it supported the court and what it called its fight against impunity in all situations,neutral,0
nyt_405, the result of our actions was a peaceful return to the normal course of business he told the schoolsboard of governorson may 6,pro-palestinian,2
jp_319,rdquointernational widows day according to the united nations is a day dedicated to endorsing the rights and dignity of the 258 million widows around the world,pro-palestinian,2
nyt_434,what he got instead was an email from the associate dean of students informing him that because he was under investigation for his participation in a protest encampment on the campus quad your degree will not be conferred until the resolution of this matter,pro-palestinian,2
jp_308,taylor force actthe us had all but ceased providing funds for the pa after the implementation of the 2017 taylor force act which blocked all funding for the pa general budget,anti-israeli,3
nyt_135,she is silverhaired and softspoken a soontoretire 80yearold former english professor with an unusual background for the modern college president her views on free speech first crystallized during her years as a student protester in the turbulent 1960s,pro-palestinian,2
jp_295, as of this week a security squad has started to operate in pisgat zeev as well as in 10 other neighborhoods,pro-israeli,1
jp_89,i am a feminist artist so i show things that cause the discrimination of women,neutral,0
jp_55,ldquoit is time to put an end to the destructive israeli occupation practices especially stealing palestinian land and building settlements in violation of international legitimacy,anti-israeli,3
jp_2,rdquo once again the temporary bridge erected after the ramp collapsed partially in 2004 had become permanent and any changes were seen as a ldquostatus quordquo issue threatening peace in the region,anti-palestinian,4
bbc_270,isfahan province is a large area in the centre of iran which takes its name from its largest city,neutral,0
bbc_323,it was peaceful and i loved to drink tea there after work,pro-palestinian,2
jp_438,omri dorldquoall of gaza is lined with drones remotely manned aircraft that collect intelligence 24 hours a dayrdquo said the commanding officer of the palmahim air force base brig,anti-israeli,3
aj_403,uk university students join propalestine protests students in the uk including those at cambridge and oxford are showing solidarity with palestine and their peers around the world,pro-palestinian,2
bbc_360,one jewish student at columbia university  where a protest encampment sparked a wave of propalestinian demonstrations  previously told the bbc that she had been called a murderer and told to go back to poland,pro-palestinian,2
aj_422,world reacts to israels rafah evacuation order un agencies aid groups warn of devastating consequences of any military assault on rafah after israel orders tens of thousands to evacuate city in southern gaza,anti-israeli,3
nyt_575, he described what he said was a threephase israeli plan submitted to hamas last week that would secure the release of the remaining hostages seized on oct,pro-israeli,1
jp_132,"nbsp
taylor force act
us military veteran taylor force was stabbed to death in march 2016 while in israel for a business program near the beach in tel aviv by a palestinian",anti-israeli,3
jp_407,the idf identified a group of protesters who left objects near the  border that they suspected were explosive devices,pro-palestinian,2
bbc_47,in most circumstances when someone applies for a longterm british visa outside of the uk they need to give their biometrics  fingerprints and a photograph  at a visaapplication centre vac for security reasons,pro-israeli,1
jp_329,the strikes also killed 15 hamas terrorists,anti-israeli,3
bbc_183,over 33000 people have been killed during israels offensive in gaza since then the hamasrun health ministry says  many of them women and children,anti-israeli,3
bbc_445,they argue there will be a sustained solution to the current crisis only if both sides can aim at some kind of political horizon,neutral,0
jp_425,rockets were fired toward southern israel just minutes after a ceasefire reached between israel and palestinian islamic jihad took effect on sunday evening amid efforts to end operation breaking dawn after three days,anti-palestinian,4
bbc_182,a car ploughed into crowds at the protest in tel aviv injuring five,pro-palestinian,2
jp_492,gen,neutral,0
bbc_150,since the start of this year it has been different,neutral,0
bbc_364,the israeli military has ordered the evacuation of an estimated 100000 residents and displaced people in a number of eastern neighbourhoods and told them they will find field hospitals tents and aid in an expanded humanitarian area which stretches north from almawasi to the city of khan younis and central town of deir albalah,pro-palestinian,2
bbc_150,another new set of calculations about the next stages of the crisis in the middle east arise from the assassination of a senior iranian general in damascus widely assumed in israel to be the work of its air force,anti-israeli,3
